frame,timestamp,vehicles_detected,vehicles_standard,vehicles_enhanced,total_spaces,occupied,free,occupancy_rate,space_1,space_2,space_3,space_4,space_5,space_6,space_7,space_8,space_9,space_10,space_11,space_12,space_13,space_14,space_15,space_16,space_17,space_18,space_1_method,space_2_method,space_3_method,space_4_method,space_5_method,space_6_method,space_7_method,space_8_method,space_9_method,space_10_method,space_11_method,space_12_method,space_13_method,space_14_method,space_15_method,space_16_method,space_17_method,space_18_method
336,11.2,10,7,3,18,12,6,66.7,free,occupied,occupied,free,occupied,free,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,visual_only,vehicle+visual,visual_only,empty,vehicle+visual,vehicle+visual,vehicle+visual,empty,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
337,11.23,10,5,5,18,12,6,66.7,free,occupied,occupied,free,occupied,free,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,vehicle+visual,visual_only,empty,vehicle+visual,vehicle+visual,vehicle+visual,empty,vehicle+visual,visual_only,vehicle+visual,vehicle+visual,empty
338,11.27,10,6,4,18,12,6,66.7,free,occupied,occupied,free,occupied,free,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,vehicle+visual,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,empty,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
339,11.3,10,6,4,18,12,6,66.7,free,occupied,occupied,free,occupied,free,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,visual_only,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
340,11.33,8,6,2,18,13,5,72.2,free,occupied,occupied,free,occupied,free,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,free,visual_only,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,empty,visual_only,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
341,11.37,10,6,4,18,14,4,77.8,free,occupied,occupied,free,occupied,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,visual_only,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,vehicle+visual,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
342,11.4,10,5,5,18,15,3,83.3,occupied,occupied,occupied,free,occupied,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,empty,visual_only,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,vehicle+visual,vehicle+visual,empty
343,11.43,8,6,2,18,15,3,83.3,occupied,occupied,occupied,free,occupied,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,visual_only,vehicle+visual,vehicle+visual,empty,vehicle+visual,visual_only,visual_only,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
344,11.47,8,7,1,18,15,3,83.3,occupied,occupied,occupied,free,occupied,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,visual_only,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,visual_only,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
345,11.5,8,6,2,18,15,3,83.3,occupied,occupied,occupied,free,occupied,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,visual_only,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,visual_only,visual_only,empty,vehicle+visual,vehicle+visual,vehicle+visual,empty,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
346,11.53,8,7,1,18,15,3,83.3,occupied,occupied,occupied,free,occupied,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,visual_only,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,visual_only,visual_only,empty,vehicle+visual,vehicle+visual,vehicle+visual,empty,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
347,11.57,8,6,2,18,13,5,72.2,occupied,occupied,occupied,free,occupied,free,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,free,visual_only,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,visual_only,visual_only,empty,vehicle+visual,vehicle+visual,vehicle+visual,empty,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
348,11.6,8,4,4,18,13,5,72.2,occupied,occupied,occupied,free,occupied,free,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,visual_only,visual_only,empty,vehicle+visual,vehicle+visual,vehicle+visual,empty,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
349,11.63,8,4,4,18,13,5,72.2,occupied,occupied,occupied,free,occupied,free,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,visual_only,visual_only,empty,vehicle+visual,vehicle+visual,vehicle+visual,empty,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
350,11.67,8,4,4,18,12,6,66.7,free,occupied,occupied,free,occupied,free,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,visual_only,visual_only,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
351,11.7,11,5,6,18,12,6,66.7,free,occupied,occupied,free,occupied,free,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,vehicle+visual,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,empty
352,11.73,10,7,3,18,13,5,72.2,free,occupied,occupied,free,occupied,free,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,vehicle+visual,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
353,11.77,10,6,4,18,14,4,77.8,free,occupied,occupied,free,occupied,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,empty,vehicle+visual,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,empty,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
354,11.8,9,8,1,18,14,4,77.8,free,occupied,occupied,free,occupied,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,empty,vehicle+visual,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
355,11.83,9,5,4,18,15,3,83.3,free,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,empty,vehicle+visual,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
356,11.87,9,7,2,18,15,3,83.3,free,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,empty,vehicle+visual,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
357,11.9,10,5,5,18,15,3,83.3,free,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,empty,vehicle+visual,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,empty
358,11.93,10,7,3,18,15,3,83.3,free,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,empty,vehicle+visual,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,empty,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,empty
359,11.97,11,7,4,18,15,3,83.3,free,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,visual_only,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,empty,vehicle+visual,visual_only,empty,vehicle+visual,vehicle+visual,vehicle+visual,empty,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,empty
360,12.0,10,7,3,18,14,4,77.8,free,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,vehicle+visual,visual_only,empty,vehicle+visual,vehicle+visual,vehicle+visual,empty,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,empty
361,12.03,10,6,4,18,14,4,77.8,free,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,free,visual_only,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,empty,vehicle+visual,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,empty,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,empty
362,12.07,9,8,1,18,14,4,77.8,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,free,visual_only,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,empty,vehicle+visual,visual_only,empty,vehicle+visual,vehicle+visual,vehicle+visual,empty,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
363,12.1,8,6,2,18,14,4,77.8,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,free,visual_only,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,empty,visual_only,visual_only,empty,vehicle+visual,vehicle+visual,vehicle+visual,empty,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
364,12.13,10,7,3,18,14,4,77.8,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,free,visual_only,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,empty,vehicle+visual,visual_only,empty,vehicle+visual,vehicle+visual,vehicle+visual,empty,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
365,12.17,9,7,2,18,14,4,77.8,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,empty,visual_only,visual_only,empty,vehicle+visual,vehicle+visual,vehicle+visual,empty,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,empty
366,12.2,10,7,3,18,14,4,77.8,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,free,visual_only,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,empty,vehicle+visual,visual_only,empty,vehicle+visual,vehicle+visual,vehicle+visual,empty,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,empty
367,12.23,10,6,4,18,14,4,77.8,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,empty,vehicle+visual,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,empty,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,empty
368,12.27,10,9,1,18,13,5,72.2,free,occupied,occupied,occupied,occupied,free,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,empty,vehicle+visual,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,empty
369,12.3,9,7,2,18,14,4,77.8,free,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,empty,vehicle+visual,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
370,12.33,9,6,3,18,15,3,83.3,free,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,visual_only,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,empty,vehicle+visual,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
371,12.37,9,5,4,18,15,3,83.3,free,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,visual_only,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,empty,vehicle+visual,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
372,12.4,9,6,3,18,16,2,88.9,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,visual_only,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
373,12.43,8,6,2,18,16,2,88.9,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,visual_only,visual_only,empty,vehicle+visual,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
374,12.47,8,4,4,18,16,2,88.9,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
375,12.5,10,6,4,18,16,2,88.9,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
376,12.53,7,5,2,18,16,2,88.9,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,visual_only,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,empty,visual_only,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,empty,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
377,12.57,8,5,3,18,15,3,83.3,free,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,visual_only,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,empty,visual_only,visual_only,empty,vehicle+visual,vehicle+visual,vehicle+visual,empty,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
378,12.6,8,6,2,18,15,3,83.3,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,free,visual_only,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,empty,visual_only,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,empty,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
379,12.63,9,5,4,18,15,3,83.3,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,free,visual_only,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,empty,visual_only,visual_only,empty,vehicle+visual,vehicle+visual,vehicle+visual,empty,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
380,12.67,9,5,4,18,15,3,83.3,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,free,visual_only,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,empty,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
381,12.7,8,4,4,18,15,3,83.3,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,empty,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
382,12.73,8,5,3,18,16,2,88.9,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,free,visual_only,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,empty,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,empty
383,12.77,8,7,1,18,16,2,88.9,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,free,visual_only,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,empty,visual_only,visual_only,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
384,12.8,8,5,3,18,16,2,88.9,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,empty,visual_only,visual_only,empty,vehicle+visual,vehicle+visual,vehicle+visual,empty,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
385,12.83,9,5,4,18,14,4,77.8,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,free,visual_only,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,empty,visual_only,visual_only,empty,vehicle+visual,vehicle+visual,vehicle+visual,empty,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
386,12.87,10,6,4,18,14,4,77.8,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,free,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,empty,visual_only,visual_only,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
387,12.9,8,7,1,18,15,3,83.3,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,visual_only,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,empty,visual_only,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
388,12.93,9,5,4,18,15,3,83.3,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,empty,vehicle+visual,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
389,12.97,9,6,3,18,16,2,88.9,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,empty,vehicle+visual,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
390,13.0,9,7,2,18,15,3,83.3,free,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
391,13.03,10,6,4,18,15,3,83.3,free,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,visual_only,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,empty,vehicle+visual,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
392,13.07,10,6,4,18,15,3,83.3,free,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,empty
393,13.1,10,7,3,18,16,2,88.9,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,visual_only,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,empty
394,13.13,11,6,5,18,16,2,88.9,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,vehicle_only,vehicle+visual,visual_only,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,empty
395,13.17,10,6,4,18,16,2,88.9,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,empty,vehicle+visual,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
396,13.2,10,6,4,18,16,2,88.9,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,empty,vehicle+visual,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,empty
397,13.23,11,6,5,18,16,2,88.9,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,vehicle_only,vehicle+visual,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,empty
398,13.27,11,7,4,18,15,3,83.3,free,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,empty,visual_only,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,empty
399,13.3,11,7,4,18,15,3,83.3,free,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,empty,visual_only,visual_only,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,empty
400,13.33,11,6,5,18,16,2,88.9,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,empty,visual_only,visual_only,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,empty
401,13.37,11,7,4,18,16,2,88.9,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,empty,visual_only,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,empty
402,13.4,10,4,6,18,16,2,88.9,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,empty,visual_only,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
403,13.43,10,5,5,18,16,2,88.9,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,empty,visual_only,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
404,13.47,10,5,5,18,16,2,88.9,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,empty,visual_only,visual_only,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
