frame,timestamp,vehicles_detected,vehicles_standard,vehicles_enhanced,total_spaces,occupied,free,occupancy_rate,space_1,space_2,space_3,space_4,space_5,space_6,space_7,space_8,space_9,space_10,space_11,space_12,space_13,space_14,space_15,space_16,space_17,space_18,space_1_method,space_2_method,space_3_method,space_4_method,space_5_method,space_6_method,space_7_method,space_8_method,space_9_method,space_10_method,space_11_method,space_12_method,space_13_method,space_14_method,space_15_method,space_16_method,space_17_method,space_18_method
35,1.17,9,7,2,18,12,6,66.7,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,vehicle+visual,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
36,1.2,9,8,1,18,12,6,66.7,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,vehicle+visual,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
37,1.23,11,6,5,18,12,6,66.7,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,visual_only,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,vehicle+visual,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,empty
38,1.27,9,7,2,18,12,6,66.7,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,vehicle+visual,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
39,1.3,9,7,2,18,12,6,66.7,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,vehicle+visual,empty,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
40,1.33,9,7,2,18,12,6,66.7,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,vehicle+visual,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
41,1.37,9,5,4,18,12,6,66.7,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,vehicle+visual,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
42,1.4,9,6,3,18,12,6,66.7,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,vehicle+visual,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
43,1.43,10,7,3,18,12,6,66.7,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,vehicle+visual,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,empty
44,1.47,11,7,4,18,12,6,66.7,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,visual_only,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,vehicle+visual,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,empty
45,1.5,11,6,5,18,12,6,66.7,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,visual_only,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,empty,vehicle+visual,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,vehicle+visual,empty
46,1.53,9,7,2,18,12,6,66.7,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,vehicle+visual,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
47,1.57,9,5,4,18,12,6,66.7,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,vehicle+visual,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
48,1.6,9,7,2,18,12,6,66.7,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,vehicle+visual,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
49,1.63,9,9,0,18,12,6,66.7,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,vehicle+visual,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
50,1.67,9,6,3,18,12,6,66.7,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,vehicle+visual,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
51,1.7,9,7,2,18,12,6,66.7,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,vehicle+visual,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
52,1.73,9,6,3,18,12,6,66.7,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,vehicle+visual,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
53,1.77,9,5,4,18,12,6,66.7,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,vehicle+visual,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
54,1.8,10,6,4,18,12,6,66.7,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,vehicle+visual,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
55,1.83,9,6,3,18,12,6,66.7,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,vehicle+visual,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
56,1.87,9,6,3,18,12,6,66.7,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,vehicle+visual,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
57,1.9,10,6,4,18,12,6,66.7,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,vehicle+visual,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
58,1.93,9,6,3,18,12,6,66.7,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,vehicle+visual,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
59,1.97,9,8,1,18,12,6,66.7,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,vehicle+visual,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
60,2.0,9,6,3,18,12,6,66.7,free,occupied,occupied,free,occupied,free,occupied,free,free,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,empty,vehicle+visual,vehicle+visual,empty,vehicle+visual,empty,vehicle+visual,empty,empty,vehicle+visual,vehicle+visual,vehicle+visual,visual_only,vehicle+visual,visual_only,visual_only,vehicle+visual,empty
